品目コード,品名,ライン,入目,流速,テンパリング,沃素価,KI製品,初回限定,最終限定,リパック,予定数量(㎏),納期,チケットＮＯ,備考,生産日,順番,slot,nouki_copy,窒素ガス,MO-7S配合,アレルゲン,SP_time_taken,SV_time_taken,SP_rate/hr,SV_rate/hr,start,end,day
25225621870,PVｼｮｰﾄEG(H),,15.0,,,,×,,,×,6000,2024-03-11,,,2024-03-11,5,2024-03-11 15:43:00-->2024-03-11 16:28:00,2024-03-11,〇,×,A,60,45,"6,000","8,000",2024-03-11 15:43:00,2024-03-11 16:28:00,Monday
25232924850,NCｼｮｰﾄ(DIR)(M),,15.0,,,,×,,,×,12700,2024-03-11,,,2024-03-11,6,2024-03-11 16:48:00-->2024-03-11 18:24:00,2024-03-11,〇,×,A,127,96,"6,000","8,000",2024-03-11 16:48:00,2024-03-11 18:24:00,Monday
25326521000,ﾊﾟﾈﾘ-PV(F),,15.0,,,,×,,,×,12700,2024-03-11,,,2024-03-11,7,2024-03-11 18:44:00-->2024-03-11 20:20:00,2024-03-11,〇,×,A,153,96,"5,000","8,000",2024-03-11 18:44:00,2024-03-11 20:20:00,Monday
25711121360,ﾓ-ｾﾞﾙBU(36℃),,15.0,,,低,×,,,×,6000,2024-03-11,,,2024-03-11,8,2024-03-11 20:40:00-->2024-03-11 21:25:00,2024-03-11,〇,×,A,60,45,"6,000","8,000",2024-03-11 20:40:00,2024-03-11 21:25:00,Monday
25286621830,EZｼｮｰﾄﾆﾝｸﾞ(S),,15.0,,,,×,〇,,×,12700,2024-03-15,,副原料無添,2024-03-12,1,2024-03-12 07:20:00-->2024-03-12 09:27:00,2024-03-15,〇,×,A,191,127,"4,000","6,000",2024-03-12 07:20:00,2024-03-12 09:27:00,Tuesday
25800421870,MB-ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(H),,15.0,,,,×,〇,,×,12700,2024-03-13,,副原料無添,2024-03-12,2,2024-03-12 09:47:00-->2024-03-12 11:23:00,2024-03-13,〇,×,A,127,96,"6,000","8,000",2024-03-12 09:47:00,2024-03-12 11:23:00,Tuesday
25800421870,MB-ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(H),,15.0,,,,×,〇,,×,12700,2024-03-16,,副原料無添,2024-03-12,3,2024-03-12 11:43:00-->2024-03-12 13:19:00,2024-03-15,〇,×,A,127,96,"6,000","8,000",2024-03-12 11:43:00,2024-03-12 13:19:00,Tuesday
25566421000,FCｼｮｰﾄﾆﾝｸﾞ,,15.0,,,,×,,,×,12700,2024-03-12,,,2024-03-12,4,2024-03-12 13:39:00-->2024-03-12 15:15:00,2024-03-12,〇,×,A,153,96,"5,000","8,000",2024-03-12 13:39:00,2024-03-12 15:15:00,Tuesday
25230924850,ﾁｴｽﾀ-2000 10K (M),,10.0,,〇,,×,,,×,6000,2024-03-18,,,2024-03-12,5,2024-03-12 15:35:00-->2024-03-12 16:42:00,2024-03-15,〇,×,A,75,67,"4,800","5,400",2024-03-12 15:35:00,2024-03-12 16:42:00,Tuesday
25230924890,ﾁｴｽﾀ-2000 10K (HH),,10.0,,〇,,×,,,×,6000,2024-03-18,,,2024-03-12,6,2024-03-12 17:02:00-->2024-03-12 18:09:00,2024-03-15,〇,×,A,75,67,"4,800","5,400",2024-03-12 17:02:00,2024-03-12 18:09:00,Tuesday
