繰上不可(×）,依頼日,品目コード,入目,予定数量(㎏),納期,チケットＮＯ,品名,入れ目,荷姿,SVライン,SV流量(㎏/h),SPライン,SP流量(㎏/h),アレルゲン,初回限定,最終限定,KI製品,テンパリング,窒素ガス,沃素価,バッチ制限,MO-7S配合,リパック,特記事項,納期_copy,firsts,lasts,last_first,time_taken,SV_time_taken,SP_time_taken,no_renzoku_seisan,clean_time,kouyousoka_maya,arerukon_maya,weight_limit,only_two,mc_renzo,stretch_flag
,2024-04-22,25719121850,15.0,12700,2024-05-27,,ｻﾝﾄﾞｸﾘ-ﾑMTR(ｽﾄﾚﾂﾁ)M,15.0,C/S,〇,"5,000",〇,"6,000",A,,〇,×,〇,〇,,,○,○,ﾊｲDXﾌｧｯﾄ→ｻﾝﾄﾞｸﾘｰﾑMTR→ﾏｲﾙﾄﾞﾌｧｯﾄDXの順で連続可能｡,2024-05-24,0,1,0,0,153,0,0,0,0,1,1,0,0,0
,2024-01-30,25729012000,16.0,12200,2024-02-29,,ｱｲｽ ﾌｱﾂﾄ ﾐﾂｸｽ (F),16.0,CAN,×,-,〇,"5,500",A,,,×,,,低,,×,×,,2024-02-29,0,0,1,0,0,134,0,0,0,0,0,0,0,0
,2024-03-04,25729012000,16.0,9000,2024-03-30,,ｱｲｽ ﾌｱﾂﾄ ﾐﾂｸｽ (F),16.0,CAN,×,-,〇,"5,500",A,,,×,,,低,,×,×,,2024-03-29,0,0,1,0,0,99,0,0,0,0,0,0,0,0
,2024-04-11,25729012000,16.0,12200,2024-05-10,,ｱｲｽ ﾌｱﾂﾄ ﾐﾂｸｽ (F),16.0,CAN,×,-,〇,"5,500",A,,,×,,,低,,×,×,,2024-05-10,0,0,1,0,0,134,0,0,0,0,0,0,0,0
,2024-01-30,25299921030,15.0,6000,2024-02-19,,PVｼｮｰﾄ(B)-AK(3),15.0,C/S,〇,"8,000",〇,"5,100",A,,,×,,〇,準高,,×,×,,2024-02-19,0,0,1,0,45,0,0,0,1,0,0,0,0,0
,2024-02-02,25299921030,15.0,6000,2024-02-17,,PVｼｮｰﾄ(B)-AK(3),15.0,C/S,〇,"8,000",〇,"5,100",A,,,×,,〇,準高,,×,×,,2024-02-16,0,0,1,0,45,0,0,0,1,0,0,0,0,0
,2024-01-30,25299921040,15.0,12700,2024-02-29,,PVｼｮｰﾄ(B)-AK(4),15.0,C/S,〇,"8,000",〇,"5,100",A,,,×,,〇,,,×,×,,2024-02-29,0,0,0,0,96,0,0,0,0,0,0,0,0,0
,2024-02-27,25299921040,15.0,12700,2024-03-25,,PVｼｮｰﾄ(B)-AK(4),15.0,C/S,〇,"8,000",〇,"5,100",A,,,×,,〇,,,×,×,,2024-03-25,0,0,0,0,96,0,0,0,0,0,0,0,0,0
,2024-03-15,25299921040,15.0,12700,2024-04-16,,PVｼｮｰﾄ(B)-AK(4),15.0,C/S,〇,"8,000",〇,"5,100",A,,,×,,〇,,,×,×,,2024-04-16,0,0,0,0,96,0,0,0,0,0,0,0,0,0
,2024-01-30,25716121850,15.0,10000,2024-02-10,,ｼﾞｴﾐﾆNTR(M),15.0,C/S,〇,"7,000",×,-,A,,,○,,,,,×,×,,2024-02-09,1,0,0,0,86,0,0,1,0,0,0,0,0,0
,2024-02-05,25716121850,15.0,10000,2024-02-17,,ｼﾞｴﾐﾆNTR(M),15.0,C/S,〇,"7,000",×,-,A,,,○,,,,,×,×,,2024-02-16,1,0,0,0,86,0,0,1,0,0,0,0,0,0
,2024-02-29,25716121850,15.0,10000,2024-03-11,,ｼﾞｴﾐﾆNTR(M),15.0,C/S,〇,"7,000",×,-,A,,,○,,,,,×,×,,2024-03-11,1,0,0,0,86,0,0,1,0,0,0,0,0,0
2024-03-18 00:00:00,2024-02-29,25716121850,15.0,10000,2024-03-18,,ｼﾞｴﾐﾆNTR(M),15.0,C/S,〇,"7,000",×,-,A,,,○,,,,,×,×,,2024-03-18,1,0,0,0,86,0,0,1,0,0,0,0,0,0
