繰上不可(×）,依頼日,品目コード,入目,予定数量(㎏),納期,チケットＮＯ,品名,入れ目,荷姿,SVライン,SV流量(㎏/h),SPライン,SP流量(㎏/h),アレルゲン,初回限定,最終限定,KI製品,テンパリング,窒素ガス,沃素価,バッチ制限,MO-7S配合,リパック,特記事項,nouki_copy,KI,SP_time_taken,SV_time_taken,slot,チケットNO,ライン,予定数量,備考,流速,生産日,順番
,,25222123040,20.0,,2024-02-08,,ﾆｭｰｼｮｰﾄﾆﾝｸﾞ20㎏(4),,,,,,,,,,,,,,,,×,,2024-02-08,×,38.0,38.0,,,,5000.0,,,,
,,25222123040,20.0,,2024-02-29,,ﾆｭｰｼｮｰﾄﾆﾝｸﾞ20㎏(4),,,,,,,,,,,,,,,,×,,2024-02-29,×,38.0,38.0,,,,5000.0,,,,
,,25222123040,20.0,,2024-02-21,,ﾆｭｰｼｮｰﾄﾆﾝｸﾞ20㎏(4),,,,,,,,,,,,,,,,×,,2024-02-21,×,38.0,38.0,,,,5000.0,,,,
,,25222123040,20.0,,2024-04-04,,ﾆｭｰｼｮｰﾄﾆﾝｸﾞ20㎏(4),,,,,,,,,,,,,,,,×,,2024-04-04,×,38.0,38.0,,,,5000.0,,,,
,,25222123040,20.0,,2024-04-26,,ﾆｭｰｼｮｰﾄﾆﾝｸﾞ20㎏(4),,,,,,,,,,,,,,,,×,,2024-04-26,×,38.0,38.0,,,,5000.0,,,,
,,25222123040,20.0,,2024-04-11,,ﾆｭｰｼｮｰﾄﾆﾝｸﾞ20㎏(4),,,,,,,,,,,,,,,,×,,2024-04-11,×,38.0,38.0,,,,5000.0,,,,
,,25222123040,20.0,,2024-04-24,,ﾆｭｰｼｮｰﾄﾆﾝｸﾞ20㎏(4),,,,,,,,,,,,,,,,×,,2024-04-24,×,57.0,57.0,,,,7500.0,,,,
,,25222123040,20.0,,2024-05-06,,ﾆｭｰｼｮｰﾄﾆﾝｸﾞ20㎏(4),,,,,,,,,,,,,,,,×,,2024-05-06,×,38.0,38.0,,,,5000.0,,,,
,,25222123040,20.0,,2024-05-06,,ﾆｭｰｼｮｰﾄﾆﾝｸﾞ20㎏(4),,,,,,,,,,,,,,,,×,,2024-05-06,×,57.0,57.0,,,,7500.0,,,,
,,25222123040,20.0,,2024-05-08,,ﾆｭｰｼｮｰﾄﾆﾝｸﾞ20㎏(4),,,,,,,,,,,,,,,,×,,2024-05-08,×,38.0,38.0,,,,5000.0,,,,
