品目コード,品名,ライン,ライン名,入目,流速,テンパ品,沃素価,KI,初回限定,最終限定,ストレッチ,予定数量,納期,チケットNO,備考,生産日,順番,slot
25308522830,LTｼﾖ-ﾄﾆﾝｸﾞ(19.2K)(S),1205,ＳＶ,15,8000,,,,,,,12700,20220620,K-202205-1522,,,,
25804121000,MB-BSｸﾘ-ﾑ-3(16.5K),1205,ＳＶ,16.5,8000,,,,,,,12700,20220620,K-202205-0992,,,,
25244422870,ｲﾄｳIK-NT(H),1205,ＳＶ,15,8000,,,,,,,12700,20220620,K-202205-1501,,,,
25249621000,ｸｯｷｰｼｮｰﾄﾆﾝｸﾞ,1205,ＳＶ,15,8000,,,,,,,12700,20220620,K-202205-1507,,,,
25249621000,ｸｯｷｰｼｮｰﾄﾆﾝｸﾞ,1205,ＳＶ,15,8000,,,,,,,12700,20220620,K-202205-1508,,,,
26611121000,ｸﾗｳﾝﾗ-ﾄﾞ#100K(ﾀﾞﾝ),1205,ＳＶ,15,8000,,,,,,,12700,20220620,K-202205-1552,,,,
25299021000,ｼｮｰﾄﾆﾝｸﾞLO-T2,1205,ＳＶ,15,8000,,,,,,,12700,20220620,K-202205-0729,,,,
25317521870,ｼﾖ-ﾄﾆﾝｸﾞYA-III(H),1205,ＳＶ,15,8000,,,,〇,,,12700,20220620,K-202205-0885,副原料添加なし初回限定,,,
25120028870,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(H),1205,ＳＶ,15,8000,,,,〇,,,12700,20220620,K-202205-1461,副原料添加なし初回限定,,,
25120028830,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(S),1205,ＳＶ,15,8000,,,,〇,,,12700,20220620,K-202205-1449,副原料添加なし初回限定,,,
25710721000,FPｼｮｰﾄLT2,1205,ＳＶ,15,8000,〇,,,,,〇,11600,20220621,K-202206-0251,,,,
25801321870,MB-Pｼﾖ-ﾄCF8.1K(H),1205,ＳＶ,8.1,4000,,,,〇,,,12700,20220621,K-202205-1548,副原料添加なし初回限定,,,
25232924850,NCｼﾖ-ﾄ(DIR)(M),1205,ＳＶ,15,8000,,,,,,,12700,20220621,K-202205-1491,,,,
25299921050,PVｼﾖ-ﾄ(B)-AK(5),1205,ＳＶ,15,8000,,,,,,,12700,20220621,K-202206-0062,,,,
25245322000,ｲﾄｳCC-NT,1205,ＳＶ,15,8000,,,,,,,12700,20220621,K-202206-0217,,,,
25278021870,ﾊｲDXﾌｱﾂﾄ(H),1205,ＳＶ,15,8000,〇,,,,〇,,12700,20220621,K-202206-0123,MO-7S添加品,,,
