繰上不可(×）,依頼日,品目コード,入目,予定数量(㎏),納期,チケットＮＯ,品名,入れ目,荷姿,SVライン,SV流量(㎏/h),SPライン,SP流量(㎏/h),アレルゲン,初回限定,最終限定,KI製品,テンパリング,窒素ガス,沃素価,バッチ制限,MO-7S配合,リパック,特記事項
,2024-05-09,25212521030,15.0,6000,20240606,,ｼｮｰﾄﾆﾝｸﾞFJP DIR(3),15.0,C/S,〇,"8,000",〇,"5,000",A,〇,,×,,〇,,,×,×,副原料無添加品｡次ﾊﾞｯﾁ無添加品の初回限定品は連続生産可能｡
,2024-01-31,25222522060,20.0,5000,20240208,,ﾊﾟﾈﾘ-ｼｮｰﾄST-2-TL(38),20.0,C/S,〇,"8,000",〇,"5,400",A,,,×,〇,〇,,,×,×,
,2024-02-28,25222522060,20.0,5000,20240307,,ﾊﾟﾈﾘ-ｼｮｰﾄST-2-TL(38),20.0,C/S,〇,"8,000",〇,"5,400",A,,,×,〇,〇,,,×,×,
,2024-03-13,25222522060,20.0,5000,20240321,,ﾊﾟﾈﾘ-ｼｮｰﾄST-2-TL(38),20.0,C/S,〇,"8,000",〇,"5,400",A,,,×,〇,〇,,,×,×,
,2024-04-03,25222522060,20.0,5000,20240411,,ﾊﾟﾈﾘ-ｼｮｰﾄST-2-TL(38),20.0,C/S,〇,"8,000",〇,"5,400",A,,,×,〇,〇,,,×,×,
,2024-04-23,25222522060,20.0,5000,20240430,,ﾊﾟﾈﾘ-ｼｮｰﾄST-2-TL(38),20.0,C/S,〇,"8,000",〇,"5,400",A,,,×,〇,〇,,,×,×,
,2024-05-08,25222522060,20.0,7500,20240515,,ﾊﾟﾈﾘ-ｼｮｰﾄST-2-TL(38),20.0,C/S,〇,"8,000",〇,"5,400",A,,,×,〇,〇,,,×,×,
,2024-01-31,25222123040,20.0,5000,20240208,,ﾆｭｰｼｮｰﾄﾆﾝｸﾞ20㎏(4),20.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,,,×,×,
,2024-02-05,25222123040,20.0,5000,20240229,,ﾆｭｰｼｮｰﾄﾆﾝｸﾞ20㎏(4),20.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,,,×,×,
,2024-02-07,25222123040,20.0,5000,20240214,,ﾆｭｰｼｮｰﾄﾆﾝｸﾞ20㎏(4),20.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,,,×,×,
2024-02-21 00:00:00,2024-02-14,25222123040,20.0,5000,20240221,,ﾆｭｰｼｮｰﾄﾆﾝｸﾞ20㎏(4),20.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,,,×,×,
,2024-03-06,25222123040,20.0,5000,20240314,,ﾆｭｰｼｮｰﾄﾆﾝｸﾞ20㎏(4),20.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,,,×,×,
,2024-03-13,25222123040,20.0,5000,20240321,,ﾆｭｰｼｮｰﾄﾆﾝｸﾞ20㎏(4),20.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,,,×,×,
,2024-03-27,25222123040,20.0,5000,20240404,,ﾆｭｰｼｮｰﾄﾆﾝｸﾞ20㎏(4),20.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,,,×,×,
,2024-04-02,25222123040,20.0,5000,20240426,,ﾆｭｰｼｮｰﾄﾆﾝｸﾞ20㎏(4),20.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,,,×,×,
,2024-04-03,25222123040,20.0,5000,20240411,,ﾆｭｰｼｮｰﾄﾆﾝｸﾞ20㎏(4),20.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,,,×,×,
,2024-04-16,25222123040,20.0,7500,20240424,,ﾆｭｰｼｮｰﾄﾆﾝｸﾞ20㎏(4),20.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,,,×,×,
