品目コード,品名,ライン,ライン名,入目,流速,テンパ品,沃素価,KI,初回限定,最終限定,ストレッチ,予定数量,納期,チケットNO,備考,生産日,順番,slot,nouki_copy
25306521830,ﾘｽﾌﾚ-ﾃSP-Ⅱ(S),1205,ＳＶ,10.0,5400,,,,,,,6000,2022-06-13,K-202205-0264,,2022-06-13,8,2022-06-13 21:38:00-->2022-06-13 22:45:00,2022-06-13
25120028830,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(S),1205,ＳＶ,15.0,8000,,,,〇,,,12700,2022-06-16,K-202205-1447,副原料添加なし初回限定,2022-06-14,1,2022-06-14 07:20:00-->2022-06-14 08:56:00,2022-06-16
25120028830,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(S),1205,ＳＶ,15.0,8000,,,,〇,,,12700,2022-06-16,K-202205-1446,副原料添加なし初回限定,2022-06-14,2,2022-06-14 09:16:00-->2022-06-14 10:52:00,2022-06-16
25286621830,EZｼﾖ-ﾄﾆﾝｸﾞ(S),1205,ＳＶ,15.0,6000,,,,〇,,,12700,2022-06-18,K-202205-1517,副原料添加なし初回限定,2022-06-14,3,2022-06-14 11:12:00-->2022-06-14 13:19:00,2022-06-17
25317521870,ｼﾖ-ﾄﾆﾝｸﾞYA-III(H),1205,ＳＶ,15.0,8000,,,,〇,,,12700,2022-06-18,K-202205-0914,副原料添加なし初回限定,2022-06-14,4,2022-06-14 13:39:00-->2022-06-14 15:15:00,2022-06-17
25244422870,ｲﾄｳIK-NT(H),1205,ＳＶ,15.0,8000,,,,,,,12700,2022-06-14,K-202205-1500,,2022-06-14,5,2022-06-14 15:35:00-->2022-06-14 17:11:00,2022-06-14
25220221000,ｼｮｰﾄﾆﾝｸﾞCC,1205,ＳＶ,15.0,8000,,,,,,,12700,2022-06-14,K-202206-0035,,2022-06-14,6,2022-06-14 17:31:00-->2022-06-14 19:07:00,2022-06-14
25711121380,ﾓ-ｾﾞﾙBU(38℃),1205,ＳＶ,15.0,8000,,低沃素価,,,,,12700,2022-06-18,K-202205-1542,,2022-06-14,7,2022-06-14 19:27:00-->2022-06-14 21:03:00,2022-06-17
25719621870,AKK-Ⅱ(H),1205,ＳＶ,15.0,8000,,低沃素価,,,,,6000,2022-06-18,K-202206-0220,,2022-06-14,8,2022-06-14 21:23:00-->2022-06-14 22:08:00,2022-06-17
25351521000,MCｼｮｰﾄ(12),1205,ＳＶ,15.0,8000,,,,〇,,,12000,2022-06-18,K-202205-1528,副原料添加多く初回限定,2022-06-15,1,2022-06-15 07:20:00-->2022-06-15 08:50:00,2022-06-17
25351521000,MCｼｮｰﾄ(12),1205,ＳＶ,15.0,8000,,,,〇,,,12000,2022-06-18,K-202205-1529,副原料添加多く初回限定,2022-06-15,2,2022-06-15 09:10:00-->2022-06-15 10:40:00,2022-06-17
25249921000,ﾊﾟﾈﾘ-PV(13),1205,ＳＶ,15.0,8000,,,,,,,12700,2022-06-18,K-202205-0882,,2022-06-15,3,2022-06-15 11:00:00-->2022-06-15 12:36:00,2022-06-17
25134723850,IKｼﾖ-ﾄ(M),1205,ＳＶ,15.0,8000,,,,,,,12700,2022-06-15,K-202205-1469,,2022-06-15,4,2022-06-15 12:56:00-->2022-06-15 14:32:00,2022-06-15
25244821000,ﾊｲﾒﾛｰｼｮｰﾄLT-2,1205,ＳＶ,15.0,8000,〇,,,,,,12700,2022-06-17,K-202205-1504,,2022-06-15,5,2022-06-15 14:52:00-->2022-06-15 16:28:00,2022-06-16
25710722000,FPｼﾖ-ﾄLT2(15K),1205,ＳＶ,15.0,8000,〇,,,,,,12400,2022-06-18,K-202206-0476,,2022-06-15,6,2022-06-15 16:48:00-->2022-06-15 18:21:00,2022-06-17
25804821000,MB-ｻﾝﾄﾞｼﾖ-ﾄDX-TL(H),1205,ＳＶ,15.0,8000,〇,,,,,,12700,2022-06-18,K-202205-1495,,2022-06-15,7,2022-06-15 18:41:00-->2022-06-15 20:17:00,2022-06-17
25719121870,ｻﾝﾄﾞｸﾘ-ﾑMTR(ｽﾄﾚﾂﾁ)H,1205,ＳＶ,15.0,8000,〇,,,,〇,〇,10200,2022-06-23,K-202206-0224,MO-7S添加品,2022-06-15,8,2022-06-15 20:37:00-->2022-06-15 21:54:00,2022-06-16
25222123050,ﾆﾕ-ｼﾖ-ﾄ 20ｷﾛ 5,1205,ＳＶ,20.0,8000,,,,,,,10000,2022-06-16,K-202206-0306,,2022-06-16,1,2022-06-16 07:20:00-->2022-06-16 08:35:00,2022-06-16
25226125020,ｱﾒﾘｶｰﾅDX*(15K),1205,ＳＶ,15.0,8000,,,,,,,12700,2022-06-18,K-202205-1488,,2022-06-16,2,2022-06-16 08:55:00-->2022-06-16 10:31:00,2022-06-17
