品目コード,品名,ライン,ライン名,入目,流速,テンパ品,沃素価,KI,初回限定,最終限定,ストレッチ,予定数量,納期,チケットNO,備考,生産日,順番,slot,nouki_copy
25120028830,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(S),1205,ＳＶ,15.0,8000,,,,〇,,,12700,2022-06-16,K-202205-1446,副原料添加なし初回限定,2022-06-14 00:00:00,4,2022-06-14 14:46:00-->2022-06-14 16:22:00,2022-06-16
25286621830,EZｼﾖ-ﾄﾆﾝｸﾞ(S),1205,ＳＶ,15.0,6000,,,,〇,,,12700,2022-06-18,K-202205-1517,副原料添加なし初回限定,2022-06-14 00:00:00,5,2022-06-14 16:42:00-->2022-06-14 18:49:00,2022-06-17
25244422870,ｲﾄｳIK-NT(H),1205,ＳＶ,15.0,8000,,,,,,,12700,2022-06-14,K-202205-1500,,2022-06-14 00:00:00,6,2022-06-14 19:09:00-->2022-06-14 20:45:00,2022-06-14
25220221000,ｼｮｰﾄﾆﾝｸﾞCC,1205,ＳＶ,15.0,8000,,,,,,,12700,2022-06-14,K-202206-0035,,2022-06-14 00:00:00,7,2022-06-14 21:05:00-->2022-06-14 22:41:00,2022-06-14
25351521000,MCｼｮｰﾄ(12),1205,ＳＶ,15.0,8000,,,,〇,,,12000,2022-06-18,K-202205-1528,副原料添加多く初回限定,2022-06-15 00:00:00,1,2022-06-15 07:20:00-->2022-06-15 08:50:00,2022-06-17
25351521000,MCｼｮｰﾄ(12),1205,ＳＶ,15.0,8000,,,,〇,,,12000,2022-06-18,K-202205-1529,副原料添加多く初回限定,2022-06-15 00:00:00,2,2022-06-15 09:10:00-->2022-06-15 10:40:00,2022-06-17
25249921000,ﾊﾟﾈﾘ-PV(13),1205,ＳＶ,15.0,8000,,,,,,,12700,2022-06-18,K-202205-0882,,2022-06-15 00:00:00,3,2022-06-15 12:30:00-->2022-06-15 14:26:00,2022-06-17
25134723850,IKｼﾖ-ﾄ(M),1205,ＳＶ,15.0,8000,,,,,,,12700,2022-06-15,K-202205-1469,,2022-06-15 00:00:00,4,2022-06-15 14:46:00-->2022-06-15 16:22:00,2022-06-15
25244821000,ﾊｲﾒﾛｰｼｮｰﾄLT-2,1205,ＳＶ,15.0,8000,〇,,,,,,12700,2022-06-17,K-202205-1504,,2022-06-15 00:00:00,5,2022-06-15 16:42:00-->2022-06-15 18:18:00,2022-06-16
25710722000,FPｼﾖ-ﾄLT2(15K),1205,ＳＶ,15.0,8000,〇,,,,,,12400,2022-06-18,K-202206-0476,,2022-06-15 00:00:00,6,2022-06-15 18:38:00-->2022-06-15 20:11:00,2022-06-17
25711121380,ﾓ-ｾﾞﾙBU(38℃),1205,ＳＶ,15.0,8000,,低沃素価,,,,,12700,2022-06-18,K-202205-1542,,2022-06-15 00:00:00,7,2022-06-15 20:31:00-->2022-06-15 22:07:00,2022-06-17
25719621870,AKK-Ⅱ(H),1205,ＳＶ,15.0,8000,,低沃素価,,,,,6000,2022-06-18,K-202206-0220,,2022-06-14 00:00:00,7,2022-06-14 20:25:00-->2022-06-14 21:10:00,2022-06-17
25317521870,ｼﾖ-ﾄﾆﾝｸﾞYA-III(H),1205,ＳＶ,15.0,8000,,,,〇,,,12700,2022-06-18,K-202205-0914,副原料添加なし初回限定,2022-06-16 00:00:00,1,2022-06-16 07:20:00-->2022-06-16 08:56:00,2022-06-17
25222123050,ﾆﾕ-ｼﾖ-ﾄ 20ｷﾛ 5,1205,ＳＶ,20.0,8000,,,,,,,10000,2022-06-16,K-202206-0306,,2022-06-16 00:00:00,2,2022-06-16 09:16:00-->2022-06-16 10:31:00,2022-06-16
25804821000,MB-ｻﾝﾄﾞｼﾖ-ﾄDX-TL(H),1205,ＳＶ,15.0,8000,〇,,,,,,12700,2022-06-18,K-202205-1495,,2022-06-16 00:00:00,3,2022-06-16 12:30:00-->2022-06-16 14:26:00,2022-06-17
