品目コード,品名,ライン,ライン名,入目,流速,テンパ品,沃素価,KI,初回限定,最終限定,ストレッチ,予定数量,納期,チケットNO,備考,生産日,順番,slot,nouki_copy,compare
25220221000,ｼｮｰﾄﾆﾝｸﾞCC,1205,ＳＶ,15,8000,,,,,,,12700,2022/6/14,K-202206-0035,,2022/6/14,7,2022-06-14 19:42:00-->2022-06-14 21:18:00,2022/6/14,〇
25719621870,AKK-Ⅱ(H),1205,ＳＶ,15,8000,,低沃素価,,,,,6000,2022/6/18,K-202206-0220,,2022/6/14,8,2022-06-14 21:38:00-->2022-06-14 22:23:00,2022/6/17,〇
25120028830,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(S),1205,ＳＶ,15,8000,,,,〇,,,12700,2022/6/16,K-202205-1447,副原料添加なし初回限定,2022/6/15,1,2022-06-15 07:20:00-->2022-06-15 08:56:00,2022/6/16,×
25120028830,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(S),1205,ＳＶ,15,8000,,,,〇,,,12700,2022/6/16,K-202205-1446,副原料添加なし初回限定,2022/6/15,2,2022-06-15 09:16:00-->2022-06-15 10:52:00,2022/6/16,×
25286621830,EZｼﾖ-ﾄﾆﾝｸﾞ(S),1205,ＳＶ,15,6000,,,,〇,,,12700,2022/6/18,K-202205-1517,副原料添加なし初回限定,2022/6/15,3,2022-06-15 11:12:00-->2022-06-15 13:19:00,2022/6/17,×
25317521870,ｼﾖ-ﾄﾆﾝｸﾞYA-III(H),1205,ＳＶ,15,8000,,,,〇,,,12700,2022/6/18,K-202205-0914,副原料添加なし初回限定,2022/6/15,4,2022-06-15 13:39:00-->2022-06-15 15:15:00,2022/6/17,×
25134723850,IKｼﾖ-ﾄ(M),1205,ＳＶ,15,8000,,,,,,,12700,2022/6/15,K-202205-1469,,2022/6/15,5,2022-06-15 15:35:00-->2022-06-15 17:11:00,2022/6/15,〇
25222522030,ﾊﾟﾈﾘ-ｼﾖ-ﾄST-2-TL(32),1205,ＳＶ,20,8000,〇,,,,,,5000,2022/6/16,K-202206-0305,,2022/6/15,6,2022-06-15 17:31:00-->2022-06-15 18:09:00,2022/6/15,×
25222123050,ﾆﾕ-ｼﾖ-ﾄ 20ｷﾛ 5,1205,ＳＶ,20,8000,,,,,,,10000,2022/6/16,K-202206-0306,,2022/6/15,7,2022-06-15 18:29:00-->2022-06-15 19:44:00,2022/6/16,×
25230924850,ﾁｴｽﾀ-2000 10K (M),1205,ＳＶ,10,5400,〇,,,,,,4000,2022/6/18,K-202206-0061,,2022/6/15,8,2022-06-15 20:04:00-->2022-06-15 20:49:00,2022/6/17,×
25711121380,ﾓ-ｾﾞﾙBU(38℃),1205,ＳＶ,15,8000,,低沃素価,,,,,12700,2022/6/18,K-202205-1542,,2022/6/15,9,2022-06-15 21:09:00-->2022-06-15 22:45:00,2022/6/17,×
25351521000,MCｼｮｰﾄ(12),1205,ＳＶ,15,8000,,,,〇,,,12000,2022/6/18,K-202205-1529,副原料添加多く初回限定,2022/6/16,1,2022-06-16 07:20:00-->2022-06-16 08:50:00,2022/6/17,×
25351521000,MCｼｮｰﾄ(12),1205,ＳＶ,15,8000,,,,〇,,,12000,2022/6/18,K-202205-1528,副原料添加多く初回限定,2022/6/16,2,2022-06-16 09:10:00-->2022-06-16 10:40:00,2022/6/17,×
25249921000,ﾊﾟﾈﾘ-PV(13),1205,ＳＶ,15,8000,,,,,,,12700,2022/6/18,K-202205-0882,,2022/6/16,3,2022-06-16 11:00:00-->2022-06-16 12:36:00,2022/6/17,×
25244821000,ﾊｲﾒﾛｰｼｮｰﾄLT-2,1205,ＳＶ,15,8000,〇,,,,,,12700,2022/6/17,K-202205-1504,,2022/6/16,4,2022-06-16 12:56:00-->2022-06-16 14:32:00,2022/6/16,×
25804821000,MB-ｻﾝﾄﾞｼﾖ-ﾄDX-TL(H),1205,ＳＶ,15,8000,〇,,,,,,12700,2022/6/18,K-202205-1493,,2022/6/16,5,2022-06-16 14:52:00-->2022-06-16 16:28:00,2022/6/17,〇
25804821000,MB-ｻﾝﾄﾞｼﾖ-ﾄDX-TL(H),1205,ＳＶ,15,8000,〇,,,,,,12700,2022/6/18,K-202205-1494,,2022/6/16,6,2022-06-16 16:48:00-->2022-06-16 18:24:00,2022/6/17,×
25230924870,ﾁｴｽﾀ-2000 10K (H),1205,ＳＶ,10,5400,〇,,,,,,8700,2022/6/18,K-202206-0060,,2022/6/16,7,2022-06-16 18:44:00-->2022-06-16 20:21:00,2022/6/17,〇
25226125020,ｱﾒﾘｶｰﾅDX*(15K),1205,ＳＶ,15,8000,,,,,,,12700,2022/6/18,K-202205-1488,,2022/6/16,8,2022-06-16 20:41:00-->2022-06-16 22:17:00,2022/6/17,〇
25317521870,ｼﾖ-ﾄﾆﾝｸﾞYA-III(H),1205,ＳＶ,15,8000,,,,〇,,,12700,2022/6/20,K-202205-0885,副原料添加なし初回限定,2022/6/17,1,2022-06-17 07:20:00-->2022-06-17 08:56:00,2022/6/20,〇
25120028870,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(H),1205,ＳＶ,15,8000,,,,〇,,,12700,2022/6/20,K-202205-1461,副原料添加なし初回限定,2022/6/17,2,2022-06-17 09:16:00-->2022-06-17 10:52:00,2022/6/20,〇
25120028830,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(S),1205,ＳＶ,15,8000,,,,〇,,,12700,2022/6/20,K-202205-1449,副原料添加なし初回限定,2022/6/17,3,2022-06-17 11:12:00-->2022-06-17 12:48:00,2022/6/20,〇
25308522830,LTｼﾖ-ﾄﾆﾝｸﾞ(19.2K)(S),1205,ＳＶ,15,8000,,,,,,,12700,2022/6/20,K-202205-1522,,2022/6/17,4,2022-06-17 13:08:00-->2022-06-17 14:44:00,2022/6/20,×
25710722000,FPｼﾖ-ﾄLT2(15K),1205,ＳＶ,15,8000,〇,,,,,,12400,2022/6/18,K-202206-0476,,2022/6/17,5,2022-06-17 15:04:00-->2022-06-17 16:37:00,2022/6/17,×
25804821000,MB-ｻﾝﾄﾞｼﾖ-ﾄDX-TL(H),1205,ＳＶ,15,8000,〇,,,,,,12700,2022/6/18,K-202205-1495,,2022/6/17,6,2022-06-17 16:57:00-->2022-06-17 18:33:00,2022/6/17,×
25710721000,FPｼｮｰﾄLT2,1205,ＳＶ,15,8000,〇,,,,,〇,12200,2022/6/24,K-202206-0302,,2022/6/17,7,2022-06-17 18:53:00-->2022-06-17 20:25:00,2022/6/17,×
25804121000,MB-BSｸﾘ-ﾑ-3(16.5K),1205,ＳＶ,16.5,8000,,,,,,,12700,2022/6/20,K-202205-0992,,2022/6/17,8,2022-06-17 20:45:00-->2022-06-17 22:21:00,2022/6/20,×
25801321870,MB-Pｼﾖ-ﾄCF8.1K(H),1205,ＳＶ,8.1,4000,,,,〇,,,12700,2022/6/21,K-202205-1548,副原料添加なし初回限定,2022/6/20,1,2022-06-20 07:20:00-->2022-06-20 10:31:00,2022/6/21,〇
25249621000,ｸｯｷｰｼｮｰﾄﾆﾝｸﾞ,1205,ＳＶ,15,8000,,,,,,,12700,2022/6/20,K-202205-1507,,2022/6/20,2,2022-06-20 10:51:00-->2022-06-20 12:27:00,2022/6/20,×
25249621000,ｸｯｷｰｼｮｰﾄﾆﾝｸﾞ,1205,ＳＶ,15,8000,,,,,,,12700,2022/6/20,K-202205-1508,,2022/6/20,3,2022-06-20 12:47:00-->2022-06-20 14:23:00,2022/6/20,×
26611121000,ｸﾗｳﾝﾗ-ﾄﾞ#100K(ﾀﾞﾝ),1205,ＳＶ,15,8000,,,,,,,12700,2022/6/20,K-202205-1552,,2022/6/20,4,2022-06-20 14:43:00-->2022-06-20 16:19:00,2022/6/20,×
25299021000,ｼｮｰﾄﾆﾝｸﾞLO-T2,1205,ＳＶ,15,8000,,,,,,,12700,2022/6/20,K-202205-0729,,2022/6/20,5,2022-06-20 16:39:00-->2022-06-20 18:15:00,2022/6/20,×
25244422870,ｲﾄｳIK-NT(H),1205,ＳＶ,15,8000,,,,,,,12700,2022/6/20,K-202205-1501,,2022/6/20,6,2022-06-20 18:35:00-->2022-06-20 20:11:00,2022/6/20,〇
25278021870,ﾊｲDXﾌｱﾂﾄ(H),1205,ＳＶ,15,8000,〇,,,,〇,,12700,2022/6/21,K-202206-0123,MO-7S添加品,2022/6/20,7,2022-06-20 20:31:00-->2022-06-20 22:07:00,2022/6/20,×
25120028890,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(HH),1205,ＳＶ,15,8000,,,,〇,,,12700,2022/6/21,K-202206-0073,副原料添加なし初回限定,2022/6/21,1,2022-06-21 07:20:00-->2022-06-21 08:56:00,2022/6/21,×
25132325870,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄCF 10K(H),1205,ＳＶ,10,5400,,,,〇,,,12700,2022/6/22,K-202205-1467,副原料添加なし初回限定,2022/6/21,2,2022-06-21 09:16:00-->2022-06-21 11:38:00,2022/6/22,×
25152321830,PSV(S),1205,ＳＶ,15,8000,,,,〇,,,6000,2022/6/22,K-202205-1471,副原料添加なし初回限定,2022/6/21,3,2022-06-21 11:58:00-->2022-06-21 12:43:00,2022/6/22,×
25299921050,PVｼﾖ-ﾄ(B)-AK(5),1205,ＳＶ,15,8000,,,,,,,12700,2022/6/21,K-202206-0062,,2022/6/21,4,2022-06-21 13:03:00-->2022-06-21 14:39:00,2022/6/21,〇
25245322000,ｲﾄｳCC-NT,1205,ＳＶ,15,8000,,,,,,,12700,2022/6/21,K-202206-0217,,2022/6/21,5,2022-06-21 14:59:00-->2022-06-21 16:35:00,2022/6/21,〇
25232924850,NCｼﾖ-ﾄ(DIR)(M),1205,ＳＶ,15,8000,,,,,,,12700,2022/6/21,K-202205-1491,,2022/6/21,6,2022-06-21 16:55:00-->2022-06-21 18:31:00,2022/6/21,〇
25710721000,FPｼｮｰﾄLT2,1205,ＳＶ,15,8000,〇,,,,,〇,12700,2022/6/28,K-202205-1535,,2022/6/21,7,2022-06-21 18:51:00-->2022-06-21 20:27:00,2022/6/21,〇
25710722000,FPｼﾖ-ﾄLT2(15K),1205,ＳＶ,15,8000,〇,,,,,,12700,2022/6/22,K-202205-1539,,2022/6/21,8,2022-06-21 20:47:00-->2022-06-21 22:23:00,2022/6/21,〇
25318821000,ｱ-ﾈｽﾄ,1205,ＳＶ,15,7000,,,KI(テンパー品),,,,10000,2022/6/22,K-202205-1526,,2022/6/22,1,2022-06-22 07:20:00-->2022-06-22 08:46:00,2022/6/22,×
25318821000,ｱ-ﾈｽﾄ,1205,ＳＶ,15,7000,,,KI(テンパー品),,,,10000,2022/6/22,K-202205-1524,,2022/6/22,2,2022-06-22 09:06:00-->2022-06-22 10:32:00,2022/6/22,×
25318821000,ｱ-ﾈｽﾄ,1205,ＳＶ,15,7000,,,KI(テンパー品),,,,10000,2022/6/22,K-202205-1525,,2022/6/22,3,2022-06-22 10:52:00-->2022-06-22 12:18:00,2022/6/22,×
25316621830,ｻｸｻｸｼﾖ-ﾄﾆﾝｸﾞY(S),1205,ＳＶ,10,5400,,,,,,,6000,2022/6/22,K-202205-1523,,2022/6/22,4,2022-06-22 13:38:00-->2022-06-22 14:45:00,2022/6/22,×
25212222850,ﾁｴｽﾀ-88-TL(M),1205,ＳＶ,15,8000,〇,,,,,,6000,2022/6/23,K-202205-1473,,2022/6/22,5,2022-06-22 15:05:00-->2022-06-22 15:50:00,2022/6/22,×
25224321050,PVｼﾖ-ﾄ(B) (5),1205,ＳＶ,15,8000,,,,,,,12700,2022/6/25,K-202205-1484,,2022/6/22,6,2022-06-22 16:10:00-->2022-06-22 17:46:00,2022/6/24,〇
25710722000,FPｼﾖ-ﾄLT2(15K),1205,ＳＶ,15,8000,〇,,,,,,12700,2022/6/27,K-202205-1540,,2022/6/22,7,2022-06-22 18:06:00-->2022-06-22 19:42:00,2022/6/24,〇
25719121850,ｻﾝﾄﾞｸﾘ-ﾑMTR(ｽﾄﾚﾂﾁ)M,1205,ＳＶ,15,8000,〇,,,,〇,〇,11600,2022/7/1,K-202206-0225,MO-7S添加品,2022/6/22,8,2022-06-22 20:02:00-->2022-06-22 21:29:00,2022/6/24,〇
25801321870,MB-Pｼﾖ-ﾄCF8.1K(H),1205,ＳＶ,8.1,4000,,,,〇,,,12700,2022/6/23,K-202205-1549,副原料添加なし初回限定,2022/6/23,1,2022-06-23 07:20:00-->2022-06-23 10:31:00,2022/6/23,×
25120028870,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(H),1205,ＳＶ,15,8000,,,,〇,,,12700,2022/6/23,K-202205-1462,副原料添加なし初回限定,2022/6/23,2,2022-06-23 10:51:00-->2022-06-23 12:27:00,2022/6/23,×
25120028830,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(S),1205,ＳＶ,15,8000,,,,〇,,,12700,2022/6/23,K-202205-1451,副原料添加なし初回限定,2022/6/23,3,2022-06-23 12:47:00-->2022-06-23 14:23:00,2022/6/23,×
25120028830,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(S),1205,ＳＶ,15,8000,,,,〇,,,12700,2022/6/23,K-202205-1453,副原料添加なし初回限定,2022/6/23,4,2022-06-23 14:43:00-->2022-06-23 16:19:00,2022/6/23,×
25120028830,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(S),1205,ＳＶ,15,8000,,,,〇,,,12700,2022/6/23,K-202205-1452,副原料添加なし初回限定,2022/6/23,5,2022-06-23 16:39:00-->2022-06-23 18:15:00,2022/6/23,×
25317521870,ｼﾖ-ﾄﾆﾝｸﾞYA-III(H),1205,ＳＶ,15,8000,,,,〇,,,12700,2022/6/25,K-202205-0915,副原料添加なし初回限定,2022/6/23,6,2022-06-23 18:35:00-->2022-06-23 20:11:00,2022/6/24,×
25804821000,MB-ｻﾝﾄﾞｼﾖ-ﾄDX-TL(H),1205,ＳＶ,15,8000,〇,,,,,,12700,2022/6/27,K-202205-1497,,2022/6/23,7,2022-06-23 20:31:00-->2022-06-23 22:07:00,2022/6/24,〇
25224122020,ｱﾒﾘｶｰﾅV,1205,ＳＶ,10,5400,,,,,,,12700,2022/6/25,K-202205-1482,,2022/6/24,1,2022-06-24 07:20:00-->2022-06-24 09:42:00,2022/6/24,×
25249921000,ﾊﾟﾈﾘ-PV(13),1205,ＳＶ,15,8000,,,,,,,12700,2022/6/25,K-202205-1512,,2022/6/24,2,2022-06-24 10:02:00-->2022-06-24 11:38:00,2022/6/24,〇
25804821000,MB-ｻﾝﾄﾞｼﾖ-ﾄDX-TL(H),1205,ＳＶ,15,8000,〇,,,,,,12700,2022/6/27,K-202205-1496,,2022/6/24,3,2022-06-24 11:58:00-->2022-06-24 13:34:00,2022/6/24,×
25230924890,ﾁｴｽﾀ-2000 10K (HH),1205,ＳＶ,10,5400,〇,,,,,,12700,2022/6/27,K-202205-1490,,2022/6/24,4,2022-06-24 13:54:00-->2022-06-24 16:16:00,2022/6/24,×
25710721000,FPｼｮｰﾄLT2,1205,ＳＶ,15,8000,〇,,,,,〇,12700,2022/7/1,K-202205-1536,,2022/6/24,5,2022-06-24 16:36:00-->2022-06-24 18:12:00,2022/6/24,〇
25225621850,PVｼﾖ-ﾄEG(M),1205,ＳＶ,15,8000,,,,,,,12700,2022/6/27,K-202205-1486,,2022/6/24,6,2022-06-24 18:32:00-->2022-06-24 20:08:00,2022/6/27,×
25249621000,ｸｯｷｰｼｮｰﾄﾆﾝｸﾞ,1205,ＳＶ,15,8000,,,,,,,12700,2022/6/27,K-202205-1509,,2022/6/24,7,2022-06-24 20:28:00-->2022-06-24 22:04:00,2022/6/27,×
25801321870,MB-Pｼﾖ-ﾄCF8.1K(H),1205,ＳＶ,8.1,4000,,,,〇,,,12700,2022/6/28,K-202205-1550,副原料添加なし初回限定,2022/6/27,1,2022-06-27 07:20:00-->2022-06-27 10:31:00,2022/6/28,〇
25120028830,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(S),1205,ＳＶ,15,8000,,,,〇,,,12700,2022/6/30,K-202205-1455,副原料添加なし初回限定,2022/6/27,2,2022-06-27 10:51:00-->2022-06-27 12:27:00,2022/6/30,〇
25120028830,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(S),1205,ＳＶ,15,8000,,,,〇,,,12700,2022/6/30,K-202205-1454,副原料添加なし初回限定,2022/6/27,3,2022-06-27 12:47:00-->2022-06-27 14:23:00,2022/6/30,〇
25132325870,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄCF 10K(H),1205,ＳＶ,10,5400,,,,〇,,,12700,2022/6/30,K-202205-1468,副原料添加なし初回限定,2022/6/27,4,2022-06-27 14:43:00-->2022-06-27 17:05:00,2022/6/30,〇
25244422870,ｲﾄｳIK-NT(H),1205,ＳＶ,15,8000,,,,,,,12700,2022/6/27,K-202205-1502,,2022/6/27,5,2022-06-27 17:25:00-->2022-06-27 19:01:00,2022/6/27,〇
25249921000,ﾊﾟﾈﾘ-PV(13),1205,ＳＶ,15,8000,,,,,,,12700,2022/6/27,K-202205-1513,,2022/6/27,6,2022-06-27 19:21:00-->2022-06-27 20:57:00,2022/6/27,〇
25710721000,FPｼｮｰﾄLT2,1205,ＳＶ,15,8000,〇,,,,,〇,12700,2022/7/4,K-202205-1537,,2022/6/27,7,2022-06-27 21:17:00-->2022-06-27 22:53:00,2022/6/27,×
25351521000,MCｼｮｰﾄ(12),1205,ＳＶ,15,8000,,,,〇,,,12000,2022/6/30,K-202205-1531,副原料添加多く初回限定,2022/6/28,1,2022-06-28 07:20:00-->2022-06-28 08:50:00,2022/6/30,〇
25351521000,MCｼｮｰﾄ(12),1205,ＳＶ,15,8000,,,,〇,,,12000,2022/6/30,K-202205-1530,副原料添加多く初回限定,2022/6/28,2,2022-06-28 09:10:00-->2022-06-28 10:40:00,2022/6/30,〇
25244422870,ｲﾄｳIK-NT(H),1205,ＳＶ,15,8000,,,,,,,12700,2022/6/30,K-202205-1503,,2022/6/28,3,2022-06-28 11:00:00-->2022-06-28 12:36:00,2022/6/30,〇
25224021000,ABｼﾖ-ﾄ(PM),1205,ＳＶ,15,8000,〇,,,,,,12700,2022/6/30,K-202205-1481,,2022/6/28,4,2022-06-28 12:56:00-->2022-06-28 14:32:00,2022/6/29,×
25217722000,ﾁｪｽﾀｰLPV-TL2(18K),1205,ＳＶ,18,8000,〇,,,,,,12700,2022/6/30,K-202205-1477,,2022/6/28,5,2022-06-28 14:52:00-->2022-06-28 16:28:00,2022/6/29,×
