品目コード,ライン,入目,流速,予定数量(㎏),納期,チケットNO,備考,生産日,順番,slot,nouki_copy,SP_time_taken,SV_time_taken,SP_rate/hr,SV_rate/hr,品名,入れ目,荷姿,SVライン,SV流量(㎏/h),SPライン,SP流量(㎏/h),アレルゲン,初回限定,最終限定,KI製品,テンパリング,窒素ガス,沃素価,バッチ制限,MO-7S配合,リパック,特記事項
25716121870,,15.0,,10000,2024-03-09,,,2024-03-06,2,2024-03-06 11:28:00-->2024-03-06 12:54:00,2024-03-08,0,86,-,"7,000",ｼﾞｴﾐﾆNTR(H),15.0,C/S,〇,"7,000",×,-,A,,,○,,,,,×,×,
25222522040,,20.0,,5000,2024-03-07,,,2024-03-06,4,2024-03-06 16:20:00-->2024-03-06 16:58:00,2024-03-06,56,38,"5,400","8,000",ﾊﾟﾈﾘ-ｼﾖ-ﾄST-2-TL(35),20.0,C/S,〇,"8,000",〇,"5,400",A,,,×,〇,〇,,,×,×,
25222522040,,20.0,,7500,2024-03-21,,,2024-03-14,2,2024-03-14 08:18:00-->2024-03-14 09:15:00,2024-03-20,84,57,"5,400","8,000",ﾊﾟﾈﾘ-ｼﾖ-ﾄST-2-TL(35),20.0,C/S,〇,"8,000",〇,"5,400",A,,,×,〇,〇,,,×,×,
25710722000,,15.0,,12700,2024-03-11,,,2024-03-06,5,2024-03-06 17:18:00-->2024-03-06 18:54:00,2024-03-08,127,96,"6,000","8,000",FPｼﾖ-ﾄLT2(15K),15.0,C/S,〇,"8,000",〇,"6,000",A,,,×,〇,〇,,,×,×,
25280921850,,15.0,,12700,2024-03-11,,ﾊｲDXﾌｧｯﾄ→ｻﾝﾄﾞｸﾘｰﾑMTR→ﾏｲﾙﾄﾞﾌｧｯﾄDXの順で連続可能｡,2024-03-06,7,2024-03-06 20:19:00-->2024-03-06 21:55:00,2024-03-08,120,96,"6,400","8,000",ﾏｲﾙﾄﾞﾌｱﾂﾄDX(M),15.0,C/S,〇,"8,000",〇,"6,400",B,,〇,×,〇,〇,,,○,×,ﾊｲDXﾌｧｯﾄ→ｻﾝﾄﾞｸﾘｰﾑMTR→ﾏｲﾙﾄﾞﾌｧｯﾄDXの順で連続可能。
25224621030,,15.0,,5000,2024-03-07,,,2024-03-07,1,2024-03-07 07:20:00-->2024-03-07 07:58:00,2024-03-07,69,38,"4,400","8,000",ｱﾙｽﾀ-ｼﾖ-ﾄﾆﾝｸﾞ (3),15.0,C/S,〇,"8,000",〇,"4,400",A,,,×,,〇,,,×,×,
26611121000,,15.0,,12700,2024-03-07,,,2024-03-07,2,2024-03-07 08:28:00-->2024-03-07 10:04:00,2024-03-07,121,96,"6,300","8,000",ｸﾗｳﾝﾗ-ﾄﾞ#100K(ﾀﾞﾝ),15.0,C/S,〇,"8,000",〇,"6,300",A,,,×,,,,,×,×,
26632521020,,15.0,,6000,2024-03-07,,,2024-03-07,3,2024-03-07 10:24:00-->2024-03-07 11:09:00,2024-03-07,60,45,"6,000","8,000",ｸﾗｳﾝ ﾗ-ﾄﾞ#300(ﾀﾞﾝ),15.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,,,,×,×,
26632521020,,15.0,,6000,2024-03-21,,,2024-03-15,6,2024-03-15 16:27:00-->2024-03-15 17:12:00,2024-03-21,60,45,"6,000","8,000",ｸﾗｳﾝ ﾗ-ﾄﾞ#300(ﾀﾞﾝ),15.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,,,,×,×,
25566421000,,15.0,,12700,2024-03-07,,,2024-03-07,4,2024-03-07 11:39:00-->2024-03-07 13:15:00,2024-03-07,153,96,"5,000","8,000",FCショートニング,15.0,C/S,〇,"8,000",〇,"5,000",A,,,×,,〇,,,×,×,
