品目コード,品名,ライン,荷姿,入目,流速,テンパリング,沃素価,KI製品,初回限定,最終限定,リパック,予定数量(㎏),納期,チケットＮＯ,備考,生産日,順番,slot,nouki_copy,窒素ガス,MO-7S配合,アレルゲン,SP_time_taken,SV_time_taken,SP_rate/hr,SV_rate/hr,start,end,day
25800811000,MB-Mcﾌﾗｲｵｲﾙ,,CAN,16.0,,,,×,,,×,73200,2024-03-13,,,2024-03-13,1,2024-03-13 07:20:00-->2024-03-13 17:48:00,2024-03-13,,×,A,628,0,"7,000","7,700",2024-03-13 07:20:00,2024-03-13 17:48:00,Wednesday
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25272711000,ﾌﾗｲｵｲﾙ-MK,,CAN,15.0,,,,×,,,×,6100,2024-03-19,,,2024-03-13,2,2024-03-13 20:48:00-->2024-03-13 21:56:00,2024-03-19,,×,A,68,0,"5,400","7,500",2024-03-13 20:48:00,2024-03-13 21:56:00,Wednesday
25800311000,MB-ｱﾒﾘｶ-ﾅDX-TL,,CAN,16.0,,,,×,,,×,18300,2024-03-14,,,2024-03-14,1,2024-03-14 07:20:00-->2024-03-14 10:30:00,2024-03-14,,×,A,190,0,"5,800","7,500",2024-03-14 07:20:00,2024-03-14 10:30:00,Thursday
26611111000,ｸﾗｳﾝﾗ-ﾄﾞ #100K,,CAN,15.0,,,,×,,,×,18300,2024-03-18,,,2024-03-14,2,2024-03-14 10:50:00-->2024-03-14 13:50:00,2024-03-18,,×,A,180,0,"6,100","8,000",2024-03-14 10:50:00,2024-03-14 13:50:00,Thursday
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25747111000,SBｵｲﾙR,,CAN,16.0,,,,×,,,×,18300,2024-03-20,,,2024-03-14,3,2024-03-14 15:30:00-->2024-03-14 18:25:00,2024-03-20,,×,A,175,0,"6,300","7,500",2024-03-14 15:30:00,2024-03-14 18:25:00,Thursday
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26713812000,ｱｳﾄﾊﾞﾂｸｼｮｰﾄﾆﾝｸﾞ,,CAN,15.0,,,,×,,,×,6100,2024-03-20,,,2024-03-14,4,2024-03-14 20:05:00-->2024-03-14 21:05:00,2024-03-20,,×,A,60,0,"6,100","7,500",2024-03-14 20:05:00,2024-03-14 21:05:00,Thursday
25800811000,MB-Mcﾌﾗｲｵｲﾙ,,CAN,16.0,,,,×,,,×,73200,2024-03-15,,,2024-03-15,1,2024-03-15 07:20:00-->2024-03-15 17:48:00,2024-03-15,,×,A,628,0,"7,000","7,700",2024-03-15 07:20:00,2024-03-15 17:48:00,Friday
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25259011750,ﾌﾗｲｵｲﾙY(15K)(Y-10),,CAN,15.0,,,,×,,,×,6100,2024-03-20,,,2024-03-15,2,2024-03-15 20:48:00-->2024-03-15 21:49:00,2024-03-20,,×,A,61,0,"6,000","7,500",2024-03-15 20:48:00,2024-03-15 21:49:00,Friday
